haul	拖；拽
haunt	出没
hay	干草
hazard	危害
haze	薄雾
hazy	模糊的
headmistress	女校长
headquarters	总部
heal	治愈
heap	一堆
hearty	衷心的；丰盛的
hectare	公顷
hedge	树篱
heighten	加强
heir	继承人
hell	地狱
herd	牛群；〈贬义〉人群
hereby	特此
heritage	遗产
heroine	女主角
hesitant	犹豫的
high-tech	高科技的
hijack	劫持
hinder	阻碍
hint	提示
hip	臀部
hollow	空心的
honeymoon	蜜月
horizon	地平线
horizontal	水平的
horn	喇叭
horrifying	令人恐怖的
horror	恐怖
horsepower	马力
hospitable	好客的
hospitality	好客
hostile	敌对的
household	住户
humble	谦卑的
hut	小屋，舍
hyphen	连字符
ideal	理想；理想的
idealistic	理想主义的
idle	空闲的
illusion	幻觉
illusory	虚幻的
imitate	模仿
immense	巨大的
immigrant	移民
immune	免疫的
impatience	不耐烦
impatient	不耐烦的
imperial	皇帝的
impulse	冲动
incidental	附带的
incredible	难以置信的
indifference	冷漠
indifferent	冷漠的
indispensable	不可或缺的
industrious	勤劳的
infant	幼儿
infect	感染
inferior	低于别人的
infinite	无限的
infinity	无限
inflate	使膨胀
ingredient	成分；配料
inhabit	居住
inhabitant	居民
inherit	继承
inland	内陆的
inquire	问询
install	安装
instalment	批次
instinct	本能
insult	侮辱
intact	不变的
intake	摄入量
intellectual	知识的；知识分子
interfere	干扰
interior	内部的
intimate	亲密的；关系暧昧的
intrude	侵扰
intrusion	侵扰
invade	入侵
invasion	入侵
invasive	扩散性的
inward	向内
irony	讽刺
jail	监狱
jealous	嫉妒的
jetlag	时差
joint	联合的
junk	垃圾
juror	陪审员
jury	陪审团
keen	热衷的
kin	亲朋
kit	工具包
kneel	跪
knit	针织
knot	结
lace	花边
ladder	梯子
lag	滞后
landlady	女房东；女地主
landlord	房东；地主
landscape	景观
lane	车道
laptop	笔记本电脑
laser	激光
launch	发射
lavatory	厕所
lawn	草坪
layoff	裁员
layout	布局
lean	倚，靠
leap	跳跃
lease	租赁
leisure	休闲
lens	镜头
lest	以免
liable	承担责任的
lick	舔
lily	百合
limb	肢
linear	线性的
liquor	白酒
literacy	识字，读写能力
literal	字面的
livelihood	生计
liver	肝
living-room	客厅
loan	贷款
lobby	大堂
locality	位置，地点
locker	更衣柜
lodge	小屋，小舍
log	日志
logo	徽标
loophole	漏洞
lord	君主；上帝
loyal	忠诚的
lump	块
lunar	农历的
luxury	奢侈
magnet	磁铁
magnificent	壮丽的
mainstream	主流
makeup	化妆
mall	购物中心
mammal	哺乳动物
manufacture	制造
marine	海洋的
marital	婚姻的
marsh	沼泽
marshal	元帅
marvel	奇迹
Marx	马克思
massage	按摩
massive	大量的
masterpiece	杰作
mate	交配
maximal	最大的
mayor	市长
meantime	同时
mechanic	机械工
mechanise	使机械化
melt	融化
memo	备忘录
memorandum	备忘录
mend	修理
merit	优点
meritorious	值得称赞的
messenger	使者
metro	地铁
microphone	麦克风
middle-class	中产阶级的
mighty	强大的
migrant	移居者，流动者
mill	磨坊
miner	矿工
miracle	奇迹
miraculous	奇迹般的
miserable	悲惨的
misfortune	不幸
mission	使命
moderate	适度的
moist	潮湿
monetary	货币的
monster	怪物
mood	心情
moreover	此外
mortgage	按揭
motel	汽车旅馆
motion	议案
motorway	〈英〉高速公路
mould	模子
mount	装配
mug	缸子
mule	骡
multiple	多重的
municipal	市的，市政的
muscle	肌肉
muscular	肌肉的
mystery	神秘
myth	神话
mythic	神话的
mythology	〈总称〉神话
naked	裸体的
nap	午休
napkin	餐巾
narrate	讲述
nasty	令人讨厌的
naughty	淘气的
naval	海军的
necessitate	使必要
necessity	必要性
needy	贫困的
negative	负面的
neglect	忽视
negotiable	可谈判的；面议的
nerve	神经
nicety	准确；细节
nickel	镍
nightmare	噩梦
nonsense	胡说八道
nosy	爱管闲事的
notate	标注
notification	告知
notify	告知
notional	概念的
noun	名词
nourish	滋养
novelty	新奇
nucleus	核；核心
nude	裸体的
nuisance	滋扰
numerous	许多的
nutrient	营养物
nutrition	营养
obese	肥胖的
oblige	迫使
obstacle	障碍
occasion	场合
odour	气味
offend	冒犯
old-fashioned	老式的
Olympiad	奥林匹克运动会，奥运会
omit	省略
online	在线
onwards	朝前
opponent	对手
opportunity	机遇
opt	选择（后跟for）
optimism	乐观
orchestra	管弦乐队
ore	矿石
organic	有机的
organism	有机体
ornament	饰品
orphan	孤儿
orphanage	孤儿院
ounce	盎司
outdated	过时的
outlet	插座
outlook	前景
outset	开始
outskirts	郊区
oven	烤箱
overdue	逾期的
overhear	无意间听到
overnight	一夜之间
oversee	监督
oversight	疏忽
overtake	超，超越
overthrow	推翻
overtime	超时，加班
overwhelm	淹没；使崩溃
ozone	臭氧
pad	垫
paddy	稻子；稻田
palm	棕榈；手心
pants	〈主美〉裤子
paperback	平装书
parade	游行
paradox	悖论
parliament	议会
particle	粒子
passion	激情
password	密码
paste	粘贴
pastime	消遣
pat	轻拍
patch	补丁
paw	爪子
payroll	工资单
peak	峰
peanut	花生
pearl	珍珠
peasant	农民
peasantry	〈总称〉农民
peculiar	奇特的
peer	同龄人
penalise	惩罚
penalty	惩罚
penetrate	穿透
perceptive	感知的
peril	危险
permissive	允许的
persevere	坚持不懈
personality	个性
pessimism	悲观
pessimist	悲观主义者
pessimistic	悲观的
petroleum	石油
petty	小的；心眼小的
picturesque	如画的
pierce	刺入
pigeon	鸽子
pillar	支柱
pinch	捏
piracy	海盗；盗版行为
pirate	海盗
pistol	手枪
pit	坑
pitch	沥青
pizza	比萨饼
plague	瘟疫
plantation	种植园
pledge	保证；信物
plough	犁
plunge	跳入；使陷入
plural	复数
polar	极地的
poll	投票；民意测验
pollster	民意测验专家
populous	人口多的
posture	姿势
poverty	贫困
preach	布道，传
precaution	预防措施
preface	序
presidency	总统职位
prevail	盛行
prevalent	盛行的
priest	牧师
prince	王子
princess	公主
privatise	使私有化
procession	队伍
proclaim	宣告
proficient	熟练的
profound	深刻的
projector	投影仪
prominence	突出
prominent	突出的
prompt	提示
proof	证据
property	财产
propose	建议
proposition	命题
prose	散文
protein	蛋白
protest	抗议
proverb	谚语
provision	提供；[-s]食品
provoke	引发
publicize	宣传
punch	用拳头猛击
purify	使净化
pursuit	追求
quantify	量化
quota	定额
rack	行李架
radar	雷达
rage	愤怒
ragged	衣衫褴褛的
raid	突袭
rally	集会
realm	界，领域
reap	收获
rear	后方
rebel	反叛
recall	召回
receptive	接受的
recession	经济衰退
recipient	收件人
reckon	估计
recruit	招聘
refrain	避免（后跟from）
registrar	学籍管理员
relativity	相对；相对论
relieve	减缓
remedy	补救办法
render	使处于；翻译
renovate	翻修
repay	偿还
repetitive	重复的
reproduce	复制；再现
reproductive	生殖的
resent	怨恨
resolution	决议
resort	度假村
respective	各自的
response	响应
resume	恢复；简历
retail	零售
retention	保留
retreat	撤退
reunion	团聚
revolve	旋转
rhythm	节奏
rib	肋骨
ribbon	带子；装饰带
ridicule	嘲弄
rifle	步枪
riot	骚乱
rip	撕裂
rival	竞争对手
roar	轰鸣
rod	棍棒；杆
romantic	浪漫的
rose	玫瑰
rouse	唤醒
rub	擦
rug	地毯
rumour	谣言
runway	跑道
rural	农村的
sack	麻袋
saint	圣；圣徒
sake	名义
sample	样本
sane	神志正常的
sauce	汁
scale	规模
scandal	丑闻
scarce	稀有的
scatter	分散
scent	气味；香味
scout	童子军；侦察舰
screw	螺丝
script	脚本，讲稿
scripture	经文；圣经
segment	片段
seizure	发作
semester	学期
semi	半
semi-colon	分号
senate	参议院
senator	参议员
sensible	明智的
sensor	传感器
setback	挫折
shed	棚
sheer	纯粹的
shell	壳
shit	粪便，屎
shiver	颤抖
showy	艳丽的
shrimp	虾
shrug	耸肩
siege	围攻
sign	标记
silicon	硅
sin	罪
singular	奇异的
skeleton	骨架
sketch	素描
sketchy	不完全的
skinny	瘦的
skyline	天际线
slap	掌击
slender	细长的
slipper	拖鞋
slippery	滑的
slogan	口号
slope	坡
smash	粉碎
